"行駛方向","車站代號","車站名稱"
"西行","T","筲箕灣總站"
"西行","02W","柴灣道"
"西行","04W","新成街"
"西行","06W","海富街"
"西行","08W","聖十字徑"
"西行","10W","太康街"
"西行","12W","太古城道"
"西行","14W","康山"
"西行","16W","船塢里"
"西行","18W","柏架山道"
"西行","20W","芬尼街"
"西行","22W","渣華道"
"西行","24W","健康東街"
"西行","26W","健康西街"
"西行","28W","電照街"
"西行","30W","書局街"
"西行","T","北角總站"
"西行","32W","北角道"
"西行","34W","炮台山"
"西行","36W","木星街"
"西行","38W","琉璃街"
"西行","40W","留仙街"
"西行","42W","維多利亞公園"
"西行","44W","信德街"
"西行","T","銅鑼灣總站"
"西行","46W","邊寧頓街"
"西行","48W","百德新街"
"西行",105,"富明街"
"西行",106,"禮頓道"
"西行",107,"樂活道"
"西行",108,"黃泥涌道"
"西行","T","跑馬地總站"
"西行",109,"天主教墳場"
"西行",110,"皇后大道東"
"西行",111,"摩利臣山道"
"西行",112,"天樂里"
"西行","50W","堅拿道西"
"西行","52W","杜老誌道"
"西行","54W","巴路士街"
"西行","56W","柯布連道"
"西行","58W","汕頭街"
"西行","60W","機利臣街"
"西行","62W","軍器廠街"
"西行","64W","金鐘港鐵站"
"西行","66W","紅棉道"
"西行","68W","銀行街"
"西行","70W","畢打街"
"西行","72W","砵甸乍街"
"西行","74W","機利文街"
"西行","76W","文華里"
"西行","T","上環 (西港城) 總站"
"西行","78W","港澳碼頭"
"西行","80W","干諾道西"
"西行","82W","修打蘭街"
"西行","84W","東邊街"
"西行","86W","西邊街"
"西行","88W","水街"
"西行","90W","屈地街"
"西行","92W","山道"
"西行","94W","屈地街電車廠"
"西行","96W","皇后大道西"
"西行","98W","堅尼地城海傍"
"西行","100W","山市街"
"西行","102W","士美菲路"
"西行","104W","爹核士街"
"東行","101E","柴灣道"
"東行","99E","南康街"
"東行","97E","西灣河電車廠"
"東行","95E","海富街"
"東行","93E","太安街"
"東行","91E","太康街"
"東行","89E","太古城道"
"東行","87E","康山"
"東行","85E","船塢里"
"東行","83E","柏架山道"
"東行","81E","芬尼街"
"東行","79E","渣華道"
"東行","77E","健康東街"
"東行","75E","健康西街"
"東行","73E","電照街"
"東行","71E","書局街"
"東行","69E","北角道"
"東行","67E","春秧街"
"東行","65E","炮台山"
"東行","63E","木星街"
"東行","61E","永興街"
"東行","59E","興發街"
"東行","57E","維多利亞公園"
"東行","55E","信德街"
"東行","53E","百德新街"
"東行","51E","波斯富街"
"東行",105,"富明街"
"東行",106,"禮頓道"
"東行",107,"樂活道"
"東行",108,"黃泥涌道"
"東行","T","跑馬地總站"
"東行",109,"天主教墳場"
"東行",110,"皇后大道東"
"東行",111,"摩利臣山道"
"東行",112,"天樂里"
"東行","49E","堅拿道西"
"東行","47E","杜老誌道"
"東行","45E","菲林明道"
"東行","43E","柯布連道"
"東行","41E","盧押道"
"東行","39E","分域街"
"東行","37E","軍器廠街"
"東行","35E","金鐘港鐵站"
"東行","33E","美利道"
"東行","31E","銀行街"
"東行","29E","雪廠街"
"東行","27E","畢打街"
"東行","25E","租庇利街"
"東行","23E","機利文街"
"東行","21E","禧利街"
"東行","T","上環 (西港城) 總站"
"東行","19E","港澳碼頭"
"東行","17E","皇后街"
"東行","15E","東邊街"
"東行","13E","西邊街"
"東行","11E","水街"
"東行","09E","屈地街"
"東行","T","石塘咀總站"
"東行","07E","山道"
"東行","05E","皇后大道西"
"東行","03E","荷蘭街"
"東行","01E","北街"
"東行","T","堅尼地城總站"
